RecordingDate,Liturgical Year,Week Number,PrimaryLiturgicalTitle
11/27/2022,Year A,1,First Sunday of Advent
12/4/2022,Year A,2,Second Sunday of Advent
12/11/2022,Year A,3,Third Sunday of Advent
12/18/2022,Year A,4,Fourth Sunday of Advent
12/25/2022,Year A,5,Christmas Day
1/1/2023,Year A,6,First Sunday of Christmas
1/8/2023,Year A,7,Baptism of Our Lord
1/15/2023,Year A,8,Second Sunday after Epiphany
1/22/2023,Year A,9,Third Sunday after Epiphany
1/29/2023,Year A,10,Fourth Sunday after Epiphany
2/5/2023,Year A,11,Fifth Sunday after Epiphany
2/12/2023,Year A,12,Sixth Sunday after Epiphany
2/19/2023,Year A,13,Seventh Sunday after Epiphany
2/26/2023,Year A,14,First Sunday in Lent
3/5/2023,Year A,15,Second Sunday in Lent
3/12/2023,Year A,16,Third Sunday in Lent
3/19/2023,Year A,17,Fourth Sunday in Lent
3/26/2023,Year A,18,Fifth Sunday in Lent
4/2/2023,Year A,19,Sixth Sunday in Lent
4/9/2023,Year A,20,Resurrection of Our Lord
4/16/2023,Year A,21,Third Sunday of Easter
4/23/2023,Year A,22,Fourth Sunday of Easter
4/30/2023,Year A,23,Fifth Sunday of Easter
5/7/2023,Year A,24,Sixth Sunday of Easter
5/14/2023,Year A,25,Seventh Sunday of Easter
5/21/2023,Year A,26,Eighth Sunday of Easter
5/28/2023,Year A,27,Day of Pentecost
6/4/2023,Year A,28,The Holy Trinity
6/11/2023,Year A,29,Second Sunday after Pentecost
6/18/2023,Year A,30,Third Sunday after Pentecost
6/25/2023,Year A,31,Fourth Sunday after Pentecost
7/2/2023,Year A,32,Fifth Sunday after Pentecost
7/9/2023,Year A,33,Sixth Sunday after Pentecost
7/16/2023,Year A,34,Seventh Sunday after Pentecost
7/23/2023,Year A,35,Eighth Sunday after Pentecost
7/30/2023,Year A,36,Ninth Sunday after Pentecost
8/6/2023,Year A,37,Tenth Sunday after Pentecost
8/13/2023,Year A,38,Eleventh Sunday after Pentecost
8/20/2023,Year A,39,Twelfth Sunday after Pentecost
8/27/2023,Year A,40,Thirteenth Sunday after Pentecost
9/3/2023,Year A,41,Fourteenth Sunday after Pentecost
9/10/2023,Year A,42,Fifteenth Sunday after Pentecost
9/17/2023,Year A,43,Sixteenth Sunday after Pentecost
9/24/2023,Year A,44,Seventeenth Sunday after Pentecost
10/1/2023,Year A,45,Eighteenth Sunday after Pentecost
